ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
159,"00205 PARK ST, New Haven, CT",Match,Exact,"205 PARK ST, NEW HAVEN, CT, 06511","-72.933464,41.30899",3701115,R,9,9,361401,3007
160,"00205 PARK ST, New Haven, CT",Match,Exact,"205 PARK ST, NEW HAVEN, CT, 06511","-72.933464,41.30899",3701115,R,9,9,361401,3007
161,"00206 LAFAYETTE ST, New Haven, CT",Match,Exact,"206 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.93056,41.302162",3744443,L,9,9,140300,2017
162,"00208 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
163,"00209 ELM ST, New Haven, CT",Match,Exact,"209 ELM ST, NEW HAVEN, CT, 06511","-72.92885,41.31018",3701132,R,9,9,361402,2004
164,"00212 YORK ST, New Haven, CT",Match,Exact,"212 YORK ST, NEW HAVEN, CT, 06511","-72.931,41.30927",3701131,L,9,9,361401,3007
165,"00213 PARK ST, New Haven, CT",Match,Exact,"213 PARK ST, NEW HAVEN, CT, 06511","-72.93337,41.309105",3701115,R,9,9,361401,3007
166,"00214 ELM ST, New Haven, CT",Match,Exact,"214 ELM ST, NEW HAVEN, CT, 06511","-72.92842,41.309998",638551938,L,9,9,361401,1002
167,"00215 PARK ST, New Haven, CT",Match,Exact,"215 PARK ST, NEW HAVEN, CT, 06511","-72.93336,41.30913",3701115,R,9,9,361401,3007
168,"00215 WHITNEY AV, New Haven, CT",Match,Exact,"215 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.919876,41.317524",637984016,R,9,9,142000,3002
169,"00216 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
170,"00217 PARK ST, New Haven, CT",Match,Exact,"217 PARK ST, NEW HAVEN, CT, 06511","-72.933334,41.309162",3701115,R,9,9,361401,3007
171,"00220 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
172,"00220 YORK ST, New Haven, CT",Match,Exact,"220 YORK ST, NEW HAVEN, CT, 06511","-72.93089,41.309425",3701131,L,9,9,361401,3007
