Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
223 0334 00100,PABX,00111 GROVE ST,YALE UNIVERSITY,,0/0,0.47,862120,3141320,4003440,4003440
260 0288 00104,PABX,00115 HIGH ST,YALE UNIVERSITY,,5150/5,0.49,2352350,26753720,29106070,29106070
260 0287 00101,PABX,00120 HIGH ST,YALE UNIVERSITY,,0/0,1.29,1013390,97970320,98983710,98983710
260 0288 00100,PABX,00121 HIGH ST,YALE UNIVERSITY,,0/0,0.43,672980,15571080,16244060,16244060
260 0309 00500,PABX,00121 WALL ST,YALE UNIVERSITY,,0/0,0.77,799540,45535980,46335520,46335520
241 0204 00100,PABX,00123 COLLEGE ST,W E 135 COLLEGE STREET LLC,,9375/229,1.12,1099770,5263300,6363070,6363070
244 0333 00100,PABX,00131 GROVE ST,YALE UNIVERSITY,,0/0,0.5,872550,5627300,6499850,6499850
278 0133 02900,PABX,00134 DAVENPORT AV,YALE UNIVERSITY,,0/0,0.11,31780,162120,193900,193900
244 0364 00200,PABX,00135 PROSPECT ST,YALE UNIVERSITY,,0/0,1.72,1084160,9287740,10371900,10371900
261 0231 00200,PABX,00139 YORK ST,YALE UNIVERSITY,,0/0,0.09,501270,530600,1031870,1031870
260 0308 00100,PABX,00140 HIGH ST,YALE UNIVERSITY,,0/0,2.2,1728230,56792890,58521120,58521120
243 0289 01300,PABX,00143 ELM ST,YALE UNIVERSITY,,0/0,0.22,582470,590800,1173270,1173270
243 0289 01400,PABX,00149 ELM ST,YALE UNIVERSITY,,0/0,0.28,608930,975310,1584240,1584240
261 0231 00300,PABX,00149 YORK ST,YALE UNIVERSITY,,0/0,0.6,739060,1672090,2411150,2411150
249 0457 00200,PABX,00150 HIGHLAND ST,YALE UNIVERSITY,,0/0,0.17,128100,352170,480270,480270
257 0354 00100,PABX,00150 MUNSON ST,WE 150 MUNSON LLC,,9156/329,1.75,985950,18984126,19970076,19970076
377 1079 00120,PABX,00150 YALE AV,YALE UNIVERSITY,,0/0,10.4,1495410,59995670,61491080,61491080
280 0230 01005,PABX,00150 YORK ST,YALE UNIVERSITY,,5083/253,0.74,1106840,4714570,5821410,5821410
277 0114 00100,PABX,00156 WASHINGTON AV,BETA 14 LLC,,8404/297,0.04,36540,0,36540,36540
244 0365 00900,PABX,00158 WHITNEY AV,YALE UNIVERSITY,,0/0,0.93,263830,10964590,11228420,11228420
247 0395 01600,PABX,00160 SAINT RONAN ST,YALE UNIVERSITY,,9088/262,0.53,144970,366310,511280,511280
377 1079 00100,PABX,00165 CENTRAL AV,YALE UNIVERSITY,,0/0,12.65,1818880,3489080,5307960,5307960
243 0289 01600,PABX,00165 ELM ST,YALE UNIVERSITY,,9115/158,0.99,851830,36460550,37312380,37312380
245 0363 00100,PABX,00165 PROSPECT ST,YALE UNIVERSITY,,0/0,4.11,2590700,58180360,60771060,60771060
244 0332 00100,PABX,00173 GROVE ST,YALE UNIVERSITY,,0/0,0.59,1156330,14246050,15402380,15402380
277 0114 02400,PABX,00174 WASHINGTON AV,BETA 14 LLC,,8404/303,0.16,49980,0,49980,49980
222 0375 00201,PABX,00175 WHITNEY AV,YALE UNIVERSITY,,0/0,4.4,3268230,114077880,117346110,117346110
277 0114 02200,PABX,00180 WASHINGTON AV,BETA 14 LLC,,8404/326,0.15,49420,0,49420,49420
245 0363 01200,PABX,00180 WHITNEY AV,YALE UNIVERSITY,,0/0,6.19,4597810,51497460,56095270,56095270
257 0354 00300,PABX,00182 WINCHESTER AV,YALE UNIVERSITY,,8362/106,1.38,101640,0,101640,101640
280 0250 02500,PABX,00182 YORK ST,YALE UNIVERSITY,,5150/1,0.42,666400,29390760,30057160,30057160
263 0125 00800,PABX,00184 LIBERTY ST,YALE UNIVERSITY,,3872/107,1.07,2338420,21833140,24171560,24171560
264 0120 00800,PABX,00188 LAFAYETTE ST,YALE UNIVERSITY,,9599/156,0.09,31080,0,31080,31080
260 0288 00103,PABX,00189 ELM ST,YALE UNIVERSITY,,0/0,1.62,1361500,67636030,68997530,68997530
277 0114 02100,PABX,00192 WASHINGTON AV,BETA 14 LLC,,8404/339,0.12,47320,0,47320,47320
280 0250 02400,PABX,00194 YORK ST,YALE UNIVERSITY,,0/0,0.18,216790,0,216790,216790
264 0120 00700,PABX,00196 LAFAYETTE ST,YALE UNIVERSITY,,9599/156,0.05,24640,0,24640,24640
261 0251 00101,PABX,00197 YORK ST,YALE UNIVERSITY,,0/0,2.33,1830360,39045230,40875590,40875590
447 1252 00301,PABX,00200 CONRAD DR,YALE UNIVERSITY,,0/0,203.58,7638330,0,7638330,7638330
261 0252 00301,PABX,00200 ELM ST,YALE UNIVERSITY,,0/0,0.29,612010,8685180,9297190,9297190
246 0362 00102,PABX,00200 PROSPECT ST,YALE UNIVERSITY,,0/0,8.56,2161460,23087190,25248650,25248650
280 0250 02300,PABX,00200 YORK ST,YALE UNIVERSITY,,5212/200,0.11,196840,26833240,27030080,27030080
261 0251 00200,PABX,00201 YORK ST,YALE UNIVERSITY,,0/0,3.48,2733780,61056380,63790160,63790160
280 0250 02210,PABX,00202 YORK ST,YALE UNIVERSITY,,0/0,0.07,186410,465850,652260,652260
280 0250 00300,PABX,00205 PARK ST,YALE UNIVERSITY,,0/0,0.13,134260,1190700,1324960,1324960
280 0250 00301,PABX,00205 PARK ST,YALE UNIVERSITY,,0/0,0,4130,0,4130,4130
264 0120 00500,PABX,00206 LAFAYETTE ST,YALE UNIVERSITY,,8314/77,0.23,34720,0,34720,34720
277 0114 02000,PABX,00208 WASHINGTON AV,BETA 14 LLC,,8404/335,0.12,46830,0,46830,46830
260 0287 00200,PABX,00209 ELM ST,YALE UNIVERSITY,,0/0,1.22,958370,24442250,25400620,25400620
280 0250 01900,PABX,00212 YORK ST,YALE UNIVERSITY,,0/0,0.2,220640,975870,1196510,1196510
280 0250 00400,PABX,00213 PARK ST,YALE UNIVERSITY,,0/0,0.29,170310,2426270,2596580,2596580
261 0252 00300,PABX,00214 ELM ST,YALE UNIVERSITY,,5150/1,1.33,1044820,15787310,16832130,16832130
280 0250 02100,PABX,00215 PARK ST,YALE UNIVERSITY,,0/0,0.21,159880,531720,691600,691600
222 0370 00500,PABX,00215 WHITNEY AV,YALE UNIVERSITY,,5419/6,0.53,671020,34090,705110,705110
277 0114 01900,PABX,00216 WASHINGTON AV,BETA 14 LLC,,8404/332,0.08,44030,0,44030,44030
280 0250 00500,PABX,00217 PARK ST,YALE UNIVERSITY,,0/0,0.13,148890,522620,671510,671510
277 0114 00601,PABX,00220 WASHINGTON AV,BETA 14 LLC,,8405/1,0.03,24500,0,24500,24500
280 0250 01800,PABX,00220 YORK ST,YALE UNIVERSITY,,0/0,0.23,224350,2859010,3083360,3083360
222 0370 00600,PABX,00221 WHITNEY AV,YALE UNIVERSITY,,5419/6,1,810810,6914950,7725760,7725760
245 0363 00201,PABX,00223 PROSPECT ST,YALE UNIVERSITY,,0/0,2.96,1865780,75367110,77232890,77232890
277 0114 01800,PABX,00224 WASHINGTON AV,BETA 14 LLC,,8404/343,0.09,44940,0,44940,44940
280 0250 01600,PABX,00224 YORK ST,YALE UNIVERSITY,,0/0,0.57,363930,4422810,4786740,4786740
280 0250 00600,PABX,00225 PARK ST,YALE UNIVERSITY,,0/0,2.65,2081730,0,2081730,2081730
277 0123 00700,PABX,00225 WASHINGTON AV,YALE UNIVERSITY,,456/296,1.29,291060,82390,373450,373450
247 0394 00700,PABX,00227 MANSFIELD ST,YALE UNIVERSITY,,0/0,1.3,160930,67830,228760,228760
277 0114 01700,PABX,00230 WASHINGTON AV,BETA 14 LLC,,8404/329,0.09,45290,0,45290,45290
280 0250 01500,PABX,00232 YORK ST,YALE UNIVERSITY,,0/0,0.23,281120,2310210,2591330,2591330
243 0311 00401,PABX,00236 CHURCH ST,YALE UNIVERSITY,,2820/31,0.18,568680,4233320,4802000,4802000
277 0114 01600,PABX,00236 WASHINGTON AV,BETA 14 LLC,,8404/323,0.11,46130,0,46130,46130
280 0250 00604,PABX,00240 YORK ST,YALE UNIVERSITY,,0/0,0.89,827680,100978150,101805830,101805830
245 0363 00300,PABX,00243 PROSPECT ST,YALE UNIVERSITY,,0/0,4.22,1662500,120763790,122426290,122426290
243 0311 00300,PABX,00246 CHURCH ST,YALE UNIVERSITY,,3599/41,0.2,576870,2103430,2680300,2680300
277 0114 01500,PABX,00246 WASHINGTON AV,ALPHA 9 LLC,,8404/291,0.08,44170,0,44170,44170
280 0271 01700,PABX,00248 PARK ST,YALE UNIVERSITY,,6145/276,0.46,378910,2915990,3294900,3294900
243 0311 00201,PABX,00250 CHURCH ST,YALE UNIVERSITY,,0/0,0.31,421540,745430,1166970,1166970
245 0363 01100,PABX,00256 WHITNEY AV,YALE UNIVERSITY,,0/0,7.58,5630310,21071960,26702270,26702270
280 0250 00603,PABX,00256 YORK ST,YALE UNIVERSITY,,0/0,0.1,196910,220220,417130,417130
277 0114 01400,PABX,00258 WASHINGTON AV,BETA 14 LLC,,8405/5,0.21,51590,0,51590,51590
247 0394 00800,PABX,00265 MANSFIELD ST,YALE UNIVERSITY,,0/0,1.3,108920,329630,438550,438550
277 0114 00200,PABX,00266 CEDAR ST,BETA 14 LLC,,8404/300,0.02,18340,0,18340,18340
