Unique ID,Street address,City,State,ZIP
283,WHALLEY AV,New Haven,CT,NA
284,11 ANDERSON ST,New Haven,CT,NA
285,13 ANDERSON ST,New Haven,CT,NA
286,11 READ ST,New Haven,CT,NA
287,BLAKE ST,New Haven,CT,NA
288,FROST ST,New Haven,CT,NA
289,15 ANDERSON ST,New Haven,CT,NA
290,17 ANDERSON ST,New Haven,CT,NA
291,100 WHEELER ST,New Haven,CT,NA
292,108 MEADOW VIEW TER,New Haven,CT,NA
293,110 MEADOW VIEW TER,New Haven,CT,NA
294,112 MEADOW VIEW TER,New Haven,CT,NA
295,114 MEADOW VIEW TER,New Haven,CT,NA
296,116 MEADOW VIEW TER,New Haven,CT,NA
297,118 MEADOW VIEW TER,New Haven,CT,NA
298,120 MEADOW VIEW TER,New Haven,CT,NA
299,19 ANDERSON ST,New Haven,CT,NA
300,122 MEADOW VIEW TER,New Haven,CT,NA
301,124 MEADOW VIEW TER,New Haven,CT,NA
302,225 TOWNSEND AV,New Haven,CT,NA
303,21 ANDERSON ST,New Haven,CT,NA
304,MIDDLETOWN AV,New Haven,CT,NA
305,219 LIVINGSTON ST,New Haven,CT,NA
306,98 COLD SPRING ST,New Haven,CT,NA
307,CANNER ST,New Haven,CT,NA
308,88 COLD SPRING ST,New Haven,CT,NA
309,80 COLD SPRING ST,New Haven,CT,NA
310,74 COLD SPRING ST,New Haven,CT,NA
311,68 COLD SPRING ST,New Haven,CT,NA
312,64 COLD SPRING ST,New Haven,CT,NA
313,HOOVER ST,New Haven,CT,NA
314,56 COLD SPRING ST,New Haven,CT,NA
315,229 TOWNSEND AV,New Haven,CT,NA
316,50 COLD SPRING ST,New Haven,CT,NA
317,1773 QUINNIPIAC AV,New Haven,CT,NA
318,1775 QUINNIPIAC AV,New Haven,CT,NA
319,44 COLD SPRING ST,New Haven,CT,NA
320,866 ORANGE ST,New Haven,CT,NA
321,862 ORANGE ST,New Haven,CT,NA
322,858 ORANGE ST,New Haven,CT,NA
323,FORBES AV,New Haven,CT,NA
324,852 ORANGE ST,New Haven,CT,NA
325,844 ORANGE ST,New Haven,CT,NA
326,95 CANNER ST,New Haven,CT,NA
327,101 CANNER ST,New Haven,CT,NA
328,235 TOWNSEND AV,New Haven,CT,NA
329,105 CANNER ST,New Haven,CT,NA
330,603 HOWARD AV,New Haven,CT,NA
331,109 CANNER ST,New Haven,CT,NA
332,113 CANNER ST,New Haven,CT,NA
333,854 QUINNIPIAC AV #7,New Haven,CT,NA
334,854 QUINNIPIAC AV #8,New Haven,CT,NA
335,852 QUINNIPIAC AV #9,New Haven,CT,NA
336,852 QUINNIPIAC AV #10,New Haven,CT,NA
337,852 QUINNIPIAC AV #11,New Haven,CT,NA
338,117 CANNER ST,New Haven,CT,NA
339,121 CANNER ST,New Haven,CT,NA
340,125 CANNER ST,New Haven,CT,NA
341,131 CANNER ST,New Haven,CT,NA
342,360 FOUNTAIN ST #45,New Haven,CT,NA
343,135 CANNER ST,New Haven,CT,NA
344,139 CANNER ST,New Haven,CT,NA
345,147 CANNER ST,New Haven,CT,NA
346,239 TOWNSEND AV,New Haven,CT,NA
347,151 CANNER ST,New Haven,CT,NA
348,173 LIVINGSTON ST,New Haven,CT,NA
349,177 LIVINGSTON ST,New Haven,CT,NA
350,HENRY ST,New Haven,CT,NA
351,183 LIVINGSTON ST,New Haven,CT,NA
352,189 LIVINGSTON ST,New Haven,CT,NA
353,73 SECOND ST,New Haven,CT,NA
354,195 LIVINGSTON ST,New Haven,CT,NA
355,199 LIVINGSTON ST,New Haven,CT,NA
356,205 LIVINGSTON ST,New Haven,CT,NA
357,209 LIVINGSTON ST,New Haven,CT,NA
358,215 LIVINGSTON ST,New Haven,CT,NA
359,241 TOWNSEND AV,New Haven,CT,NA
360,883 ORANGE ST,New Haven,CT,NA
361,200 MITCHELL DR,New Haven,CT,NA
362,192 MITCHELL DR,New Haven,CT,NA
363,105 JUDSON AV,New Haven,CT,NA
364,184 MITCHELL DR,New Haven,CT,NA
365,869 ORANGE ST #2E,New Haven,CT,NA
366,869 ORANGE ST #3E,New Haven,CT,NA
367,OAKLEY ST,New Haven,CT,NA
368,ALABAMA ST,New Haven,CT,NA
369,WINTHROP AV,New Haven,CT,NA
370,869 ORANGE ST #4E,New Haven,CT,NA
371,869 ORANGE ST #5E,New Haven,CT,NA
372,LLOYD ST,New Haven,CT,NA
373,68 FARREN AV,New Haven,CT,NA
374,25 ORCHARD ST,New Haven,CT,NA
375,HOWARD AV,New Haven,CT,NA
376,JAMES ST,New Haven,CT,NA
377,869 ORANGE ST #6E,New Haven,CT,NA
378,223 HYDE ST,New Haven,CT,NA
379,245 TOWNSEND AV,New Haven,CT,NA
380,869 ORANGE ST #7E,New Haven,CT,NA
381,41 WAYFARER ST,New Haven,CT,NA
382,869 ORANGE ST #8E,New Haven,CT,NA
383,869 ORANGE ST #9E,New Haven,CT,NA
384,869 ORANGE ST #10E,New Haven,CT,NA
385,869 ORANGE ST #1W,New Haven,CT,NA
386,1509 ELLA T GRASSO BLVD,New Haven,CT,NA
387,0 WHALLEY AVE,New Haven,CT,NA
388,EDGEMERE RD,New Haven,CT,NA
389,869 ORANGE ST #2W,New Haven,CT,NA
390,869 ORANGE ST #3W,New Haven,CT,NA
391,27 FRANCES HUNTER DR,New Haven,CT,NA
392,25 FRANCES HUNTER DR,New Haven,CT,NA
393,23 FRANCES HUNTER DR,New Haven,CT,NA
394,21 FRANCES HUNTER DR,New Haven,CT,NA
395,19 FRANCES HUNTER DR,New Haven,CT,NA
396,17 FRANCES HUNTER DR,New Haven,CT,NA
397,15 FRANCES HUNTER DR,New Haven,CT,NA
398,13 FRANCES HUNTER DR,New Haven,CT,NA
399,869 ORANGE ST #4W,New Haven,CT,NA
400,11 FRANCES HUNTER DR,New Haven,CT,NA
401,9 FRANCES HUNTER DR,New Haven,CT,NA
402,7 FRANCES HUNTER DR,New Haven,CT,NA
