"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"53","244 0365 00100","PABX","00027 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.33,138110,717430,855540,855540,53,"00027 HILLHOUSE AV, New Haven, CT","Match","Exact","27 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.923454,41.313843",3701169,"R",9,9,361402,1002,"09009361402"
"54","244 0364 00800","PABX","00028 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.34,208390,1385090,1593480,1593480,54,"00028 HILLHOUSE AV, New Haven, CT","Match","Exact","28 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92351,41.313744",3701169,"L",9,9,361402,1003,"09009361402"
"55","260 0307 01201","PABX","00029 BROADWAY","YALE UNIVERSITY",NA,"0/0",0.62,368060,1283030,1651090,1651090,55,"00029 BROADWAY, New Haven, CT","Match","Exact","29 BROADWAY, NEW HAVEN, CT, 06511","-72.93097,41.3116",618696310,"R",9,9,361402,1008,"09009361402"
"56","244 0364 00700","PABX","00030 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.56,218330,2081240,2299570,2299570,56,"00030 HILLHOUSE AV, New Haven, CT","Match","Exact","30 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.923485,41.3138",3701169,"L",9,9,361402,1003,"09009361402"
"57","244 0365 00200","PABX","00031 HILLHOUSE AV","YALE UNIVERSITY",NA,"5646/115",1.01,158900,852180,1011080,1011080,57,"00031 HILLHOUSE AV, New Haven, CT","Match","Exact","31 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92341,41.313942",3701169,"R",9,9,361402,1002,"09009361402"
"58","280 0249 02702","PABX","00032 EDGEWOOD AV","YALE UNIVERSITY",NA,"0/0",1.69,1439830,28323960,29763790,29763790,58,"00032 EDGEWOOD AV, New Haven, CT","Match","Exact","32 EDGEWOOD AVE, NEW HAVEN, CT, 06511","-72.93397,41.310417",3700440,"L",9,9,361401,3008,"09009361401"
"59","244 0364 00600","PABX","00034 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.77,376460,5558980,5935440,5935440,59,"00034 HILLHOUSE AV, New Haven, CT","Match","Exact","34 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92344,41.313908",3701169,"L",9,9,361402,1003,"09009361402"
"60","263 0137 00100","PABX","00035 COLLEGE ST","YALE UNIVERSITY",NA,"4928/226",1.94,1143030,3195500,4338530,4338530,60,"00035 COLLEGE ST, New Haven, CT","Match","Exact","35 COLLEGE ST, NEW HAVEN, CT, 06510","-72.932106,41.302696",3701238,"R",9,9,140300,2011,"09009140300"
"61","244 0365 00400","PABX","00037 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.35,139090,663250,802340,802340,61,"00037 HILLHOUSE AV, New Haven, CT","Match","Exact","37 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92335,41.314095",3701169,"R",9,9,361402,1002,"09009361402"
"62","244 0364 00500","PABX","00038 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.78,188650,25117260,25305910,25305910,62,"00038 HILLHOUSE AV, New Haven, CT","Match","Exact","38 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92339,41.31402",3701169,"L",9,9,361402,1003,"09009361402"
