GEOID,race,hs,college,pov,ins,mobi,estimate,race_prop,rent
09009350400,O,0.3481781376518218,0,0.46601941747572817,0.32524271844660196,0.2362768496420048,419,0.13595068137573005,1
09009350500,O,0.5576470588235294,0.04470588235294118,0.6686182669789227,0.14754098360655737,0.3454332552693209,854,0.26044525770051846,0.934640522875817
09009350800,O,0.7774086378737541,0.059800664451827246,0.31393298059964725,0.07525083612040134,0.1909722222222222,607,0.0906240668856375,0.7635467980295566
09009350900,O,1,0.25,0,0.0851063829787234,0.26249999999999996,94,0.03791851553045583,0.6428571428571429
09009351000,O,0.680672268907563,0.046218487394957986,0.07520891364902507,0.016713091922005572,0.10027855153203347,359,0.08022346368715083,0.7557251908396947
09009351100,O,0.8916967509025271,0.16967509025270758,0.13695652173913042,0.09565217391304348,0.43695652173913047,460,0.10877275951761646,0.5149253731343284
09009351200,O,0.4428152492668622,0.01466275659824047,0.3581081081081081,0.07162162162162163,0.11671087533156499,754,0.14640776699029126,0.7466666666666667
09009351300,O,0.8997050147492626,0.1415929203539823,0.0480225988700565,0.19350282485875706,0.06638418079096042,708,0.11186601358824459,0.9433198380566802
09009351400,O,0.49429037520391517,0.05872756933115824,0.4891067538126362,0.1328976034858388,0.04030501089324623,918,0.16993706034801925,0.8364611260053619
09009351500,O,0.3450134770889488,0,0.45482866043613707,0.08282208588957055,0.09355828220858897,652,0.10809018567639257,0.5808383233532934
09009351601,O,0.9695121951219512,0,0.04945054945054945,0.1978021978021978,0,182,0.05272305909617613,0.45
09009351602,O,1,0,0.13297872340425532,0.11170212765957446,0.1063829787234043,188,0.02615106412574767,0.7835051546391752
09009351700,O,0.20547945205479456,0,0.35051546391752575,0.5,0.6551724137931034,116,0.0349292381812707,1
09009351800,O,1,0.7317073170731707,0.12222222222222222,0,0,90,0.02192448233861145,0.4810126582278481
09009351900,O,0.6811594202898551,0,0.41317365269461076,0.1461187214611872,0.21461187214611877,219,0.07946298984034833,0.675
09009352000,O,1,0.09154929577464789,0,0.05636743215031315,0.05405405405405406,481,0.09363441697488807,0.13392857142857142
09009352100,O,0.7350427350427351,0.042735042735042736,0.09947643979057591,0.1256544502617801,0.17277486910994766,191,0.04086435601198117,0.7592592592592593
09009352200,O,0.7222222222222222,0,0.6772908366533864,0,0,251,0.07505980861244019,0.7263157894736842
09009352300,O,1,0.2857142857142857,0,0,0,21,0.0068314899154196486,0
09009352400,O,0.3401162790697675,0,0.45,0.48043478260869565,0.023404255319148914,470,0.10740402193784278,0.6293103448275862
09009352500,O,0.9375,0.3125,0,0,0,29,0.00858242083456644,0.9333333333333333
09009352600,O,0.782051282051282,0,0.35,0.23333333333333334,0,180,0.03559422582558829,1
09009352701,O,0.8058252427184466,0.1262135922330097,0.21296296296296297,0.15123456790123457,0,324,0.10172684458398744,1
09009352702,O,0.9810526315789474,0.04,0,0.18621700879765396,0.05967976710334788,687,0.11344121532364597,0.152
09009352800,O,0.9490445859872612,0,0.5692307692307692,0,0.03076923076923077,520,0.08007391438250692,0.9148936170212766
09009361100,O,1,0,0,0,0,408,0.05690376569037657,0
09009361200,O,1,0.8888888888888888,0,0,0,19,0.0034545454545454545,0
09009361300,O,0.5,0,NaN,NaN,0.5,12,0.0026875699888017916,NaN
09009361401,O,0.6216216216216216,0.6216216216216216,1,0,0.5057471264367817,87,0.021518674251793223,1
09009361402,O,1,1,0,0.052083333333333336,0.23958333333333337,96,0.03296703296703297,NaN
09009361500,O,0.69,0.075,0.10869565217391304,0.4241676942046856,0.04562268803945746,811,0.0877610648198247,0.7398373983739838
09009990000,O,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
09009120100,M,NaN,NaN,0,0,0,15,0.0022364693603697627,NaN
09009120200,M,1,0.45414847161572053,0.3009478672985782,0,0.25934579439252337,428,0.06301531213191991,0.6710526315789473
09009125100,M,0.640625,0.640625,0,0,0,93,0.01802325581395349,0
09009125200,M,1,0,0.44,0.2,0,100,0.01571832756994656,1
09009125300,M,0.33460076045627374,0,0.19640852974186307,0.06397306397306397,0.1503928170594837,891,0.14594594594594595,0.9157303370786517
09009125400,M,1,0,1,0,0,76,0.021029330381848368,0
09009130101,M,1,0,0,0,0,55,0.010318949343339587,0
09009130102,M,1,1,0.16666666666666666,0,0,42,0.014568158168574402,0
09009130200,M,1,0,0,0,0.5,101,0.011034633453512509,0.5675675675675675
09009140100,M,1,0.7387387387387387,0.1276595744680851,0,0.42068965517241375,145,0.03915743991358358,1
09009140200,M,0.4347826086956522,0,1,0,0,23,0.02030008826125331,1
09009140300,M,0.40909090909090906,0,0.5026737967914439,0,0.09154929577464788,187,0.05649546827794562,0.8125
09009140400,M,0.7741935483870968,0.40860215053763443,0.04417670682730924,0,0.6385542168674698,249,0.05754564363300208,0.8571428571428571
09009140500,M,0.5421686746987953,0.1686746987951807,0.5285714285714286,0,0.1523809523809524,210,0.04766227871084884,0.8285714285714286
09009140600,M,0.3787878787878788,0,0.5982142857142857,0,0.4545454545454546,121,0.019025157232704402,1
09009140700,M,1,0.2625,0.69375,0,0.3375,160,0.03550033281562014,0.6578947368421053
09009140800,M,0.5357142857142857,0.10714285714285714,0.5240963855421686,0.03614457831325301,0,166,0.036079113236252985,0.875
09009140900,M,1,0.16279069767441862,0,0,0.27522935779816515,109,0.022851153039832286,1
09009141000,M,1,0.75,0.027303754266211604,0,0.6791808873720137,293,0.06442392260334213,1
09009141100,M,1,0.7272727272727273,0,0,0.1728395061728395,91,0.02914798206278027,0
09009141200,M,1,0,0.025735294117647058,0,0,272,0.05052944454765001,0.6140350877192983
09009141300,M,1,0.49206349206349204,0.21428571428571427,0.06696428571428571,0.28,225,0.03015277405521308,1
09009141400,M,0.9341085271317829,0.35271317829457366,0.09259259259259259,0,0.04398148148148151,432,0.08372093023255814,0.4824561403508772
09009141500,M,0.5957446808510638,0,0.8721804511278195,0,0,133,0.020203554610360018,1
09009141600,M,1,0.38372093023255816,0.525974025974026,0.0918918918918919,0.28761061946902655,226,0.039690902704601336,0.6
09009141800,M,1,0.6862745098039216,0.13615023474178403,0,0.32579185520361986,233,0.045722135007849295,0.8977272727272727
09009141900,M,1,1,0.27848101265822783,0.05907172995780591,0.8734177215189873,237,0.04116012504341785,1
09009142000,M,1,1,0.75,0,0.7142857142857143,56,0.018536908308507117,1
09009142100,M,1,1,1,1,1,6,0.0031762837480148226,NaN
09009142200,M,1,0.9047619047619048,0.2,0,0.1515151515151515,66,0.04182509505703422,1
09009142300,M,0.734375,0,0.8072289156626506,0,0.5970149253731343,166,0.022874466032795922,1
09009142400,M,0.6346153846153846,0,0.5384615384615384,0.052884615384615384,0.38743455497382195,208,0.024694289445565714,1
09009142500,M,1,0,0.5960591133004927,0,0.27586206896551724,203,0.026851851851851852,1
09009142601,M,0.8688524590163934,0,0.15077605321507762,0.07760532150776053,0.04040404040404044,451,0.05758426966292135,0
09009142603,M,1,0.7083333333333334,0,0,0,106,0.02489431658055425,0.4186046511627907
09009142604,M,0.6666666666666667,0.3333333333333333,1,0,0.5172413793103448,29,0.00810508664058133,1
09009142700,M,1,0,0.04228855721393035,0.0407673860911271,0.07434052757793763,417,0.04269041769041769,1
09009142800,M,1,1,0,0,0,70,0.016782546152001917,NaN
09009150100,M,1,1,0,0,0.3046875,128,0.0282311424790472,1
09009150200,M,1,0.7962962962962963,0,0,0,75,0.020764119601328904,0
09009150300,M,1,0.574468085106383,0,0,0.10666666666666669,150,0.036460865337870685,0.1702127659574468
09009150400,M,1,0.37037037037037035,0,0,0,27,0.006658446362515413,0.37037037037037035
09009150500,M,0.15000000000000002,0,0.6666666666666666,0.27450980392156865,0.7843137254901961,51,0.011455525606469003,1
09009150600,M,1,1,0,0,0,100,0.01386193512614361,0
09009150700,M,1,0.64,0,0.36,1,26,0.0056942619360490585,0.64
09009150800,M,1,0,0.4725274725274725,0,0,91,0.023267706468933776,NaN
09009150900,M,1,0,0,0,0,73,0.018693982074263763,NaN
09009151000,M,0.8285714285714285,0.2571428571428571,0,0,0.14876033057851235,121,0.02878211227402474,0.631578947368421
09009151100,M,0.9444444444444444,0.75,0.18867924528301888,0,0.1556603773584906,212,0.03032036613272311,0.15384615384615385
09009151200,M,NaN,NaN,0,0,0,43,0.013271604938271606,NaN
09009154100,M,0.4285714285714286,0,0,0.05642633228840126,0.24137931034482762,319,0.038817230469700655,0
09009154200,M,1,0,0.25806451612903225,0,0.18709677419354842,310,0.04037509768168794,0.8095238095238095
09009154500,M,1,0.16071428571428573,0,0.05426356589147287,0,129,0.027301587301587302,0.625
09009154600,M,1,0.07317073170731707,0.5373134328358209,0,0.28873239436619713,142,0.026276831976313843,0.5238095238095238
09009154700,M,1,0.09848484848484848,0,0,0.11455847255369933,419,0.06246273106738223,0
09009154800,M,1,0.9736842105263158,0.02,0,0.24,50,0.010181225819588679,NaN
09009154900,M,1,0,0,0,0,33,0.008335438241980297,NaN
09009155000,M,1,0,0.5527426160337553,0,0.3755274261603375,237,0.040651801029159516,NaN
09009155100,M,1,0.02564102564102564,0,0.3769230769230769,0.2153846153846154,130,0.03884075291305647,1
09009157100,M,0.9767441860465116,0.8953488372093024,0,0,0.040462427745664775,173,0.06736760124610591,0.1794871794871795
09009157200,M,NaN,NaN,0,0,0,35,0.009167103195390257,NaN
