Unique ID,Street address,City,State,ZIP
10234,114 FORT HALE RD,New Haven,CT,
10235,21 SYLVAN AV,New Haven,CT,
10236,27 SYLVAN AV,New Haven,CT,
10237,29 SYLVAN AV,New Haven,CT,
10238,45 DAY ST,New Haven,CT,
10239,51 DAY ST,New Haven,CT,
10240,53 DAY ST,New Haven,CT,
10241,63 DAY ST,New Haven,CT,
10242,DAY ST,New Haven,CT,
10243,110 FORT HALE RD,New Haven,CT,
10244,67 DAY ST,New Haven,CT,
10245,79 DAY ST,New Haven,CT,
10246,101 DAY ST,New Haven,CT,
10247,66 DWIGHT ST,New Haven,CT,
10248,56 DWIGHT ST,New Haven,CT,
10249,48 DWIGHT ST,New Haven,CT,
10250,109 DAY ST,New Haven,CT,
10251,530 GEORGE ST,New Haven,CT,
10252,526 GEORGE ST,New Haven,CT,
10253,522 GEORGE ST,New Haven,CT,
10254,104 FORT HALE RD,New Haven,CT,
10255,518 GEORGE ST,New Haven,CT,
10256,514 GEORGE ST,New Haven,CT,
10257,512 GEORGE ST,New Haven,CT,
10258,80 DWIGHT ST,New Haven,CT,
10259,74 DWIGHT ST,New Haven,CT,
10260,44 DWIGHT ST,New Haven,CT,
10261,42 DWIGHT ST,New Haven,CT,
10262,38 DWIGHT ST,New Haven,CT,
10263,32 DWIGHT ST,New Haven,CT,
10264,41 DWIGHT ST,New Haven,CT,
10265,100 FORT HALE RD,New Haven,CT,
10266,65 DWIGHT ST,New Haven,CT,
10267,2 HOWE ST #BLDG,New Haven,CT,
10268,10 HOWE ST,New Haven,CT,
10269,96 SYLVAN AV,New Haven,CT,
10270,90 ORCHARD ST,New Haven,CT,
10271,86 ORCHARD ST,New Haven,CT,
10272,82 ORCHARD ST,New Haven,CT,
10273,78 ORCHARD ST,New Haven,CT,
10274,74 ORCHARD ST,New Haven,CT,
10275,94 FORT HALE RD,New Haven,CT,
10276,70 ORCHARD ST,New Haven,CT,
10277,66 ORCHARD ST,New Haven,CT,
10278,62 ORCHARD ST,New Haven,CT,
10279,58 ORCHARD ST,New Haven,CT,
10280,46 ORCHARD ST,New Haven,CT,
10281,42 ORCHARD ST,New Haven,CT,
10282,40 ORCHARD ST,New Haven,CT,
10283,36 ORCHARD ST,New Haven,CT,
10284,32 ORCHARD ST,New Haven,CT,
10285,28 ORCHARD ST,New Haven,CT,
10286,90 FORT HALE RD,New Haven,CT,
10287,24 ORCHARD ST,New Haven,CT,
10288,20 ORCHARD ST,New Haven,CT,
10289,14 ORCHARD ST,New Haven,CT,
10290,4 ORCHARD ST,New Haven,CT,
10291,227 DAVENPORT AV,New Haven,CT,
10292,231 DAVENPORT AV,New Haven,CT,
10293,235 DAVENPORT AV,New Haven,CT,
10294,241 DAVENPORT AV,New Haven,CT,
10295,245 DAVENPORT AV,New Haven,CT,
10296,247 DAVENPORT AV,New Haven,CT,
10297,84 FORT HALE RD,New Haven,CT,
10298,251 DAVENPORT AV,New Haven,CT,
10299,5 STEVENS ST,New Haven,CT,
10300,9 STEVENS ST,New Haven,CT,
10301,11 STEVENS ST,New Haven,CT,
10302,13 STEVENS ST,New Haven,CT,
10303,15 STEVENS ST,New Haven,CT,
